"","ID","XCOO","YCOO","ELEV","COUN","ASP","GENLAN","TOPO","GROUNDVEG","TREELAY","VEG_ZONE","Date","SAMP","SPECIES","LITO","C_PAR","TOPC","WEATH","TEMP","Ag","Al","As","Au","B","Ba","Be","Bi","Ca","Cd","Co","Cr","Cu","Fe","Hg","K","La","Mg","Mn","Mo","Na","Ni","P","Pb","Pd","Pt","Rb","S","Sb","Sc","Se","Si","Sr","Th","Tl","U","V","Y","Zn"
"1",1,547960.4,7693790,135,"FIN","NW","FLA PLAIN","CONCLOW","EMPETRUM","PIBI","BOREAL_FOREST",950815,"JARRMLR","HSDC",20,"FLUV",35,"DRY",18,0.016,71.2,0.123,NA,1.74,14,0.015,0.002,2310,0.064,0.29,0.32,5.63,96.5,0.044,4360,0.35,1110,585,0.052,62.9,4.45,1110,1.5,NA,NA,15.1,783,0.015,0.05,0.4,78.9,5.61,0.007,0.022,0.007,0.53,0.05,29.3
"2",2,770024.8,7679167,140,"RUS","SW","RIDGE","CONVLOW","SHRUBS","BIRCH","FOREST_TUNDRA",950810,"Semenov","HSSC",4,"TILL",52,"MIX",9,0.073,245,0.299,NA,2.77,17.4,0.015,0.039,2460,0.145,0.85,0.99,20.4,359,0.062,4040,0.35,1530,148,0.113,217,18.1,1310,4.61,NA,NA,4.56,880,0.069,0.05,0.4,230,12.2,0.028,0.025,0.013,9.92,0.1,34.1
"3",3,498650.6,7668151,255,"FIN","N","PLAIN","CONC","BLUEBERRY","BIRCH","FOREST_TUNDRA",950706,"JARKP","HSDC",31,"TILL",52,"DRY",13,0.032,103,0.176,NA,1.89,20.9,0.015,0.012,3430,0.058,0.28,0.44,6.65,122,0.069,4060,0.35,1280,586,0.062,30.1,4.05,1470,2.43,NA,NA,8.44,809,0.035,0.05,0.4,110,9.97,0.013,0.018,0.005,1.12,0.05,59.1
"4",4,795151.9,7569386,240,"RUS","NE","RIDGE","UPBRLOW","WHITE_LICHEN","PIBI","BOREAL_FOREST",950620,"Smirnov","HSSC",20,"FLUVG",40,"DRY",15,0.118,307,0.423,NA,2.3,21.8,0.015,0.033,2860,0.148,1.66,0.75,41.7,350,0.077,4770,0.35,1030,392,0.168,61.4,37,1320,3.83,NA,NA,18.3,894,0.064,0.05,0.4,268,17.6,0.046,0.046,0.023,3.13,0.2,33.5
"5",5,437050,7855900,80,"NOR","N","LOWMO","CONCLOW","SHRUBS","BIRCH","FOREST_TUNDRA",950715,"CRPCTF","HSSC",10,"TILL",50,"DRY",15,0.038,253,0.119,NA,4.65,31.1,0.015,0.002,3190,0.045,0.34,0.39,3.85,395,0.062,4220,2,2010,131,0.122,232,1.6,1040,2.65,NA,NA,5.89,714,0.022,0.05,0.4,347,26,0.202,0.027,0.136,0.98,0.9,20.9
"6",6,752105.9,7626023,140,"RUS","E","SLOPE","UPBRLOW","SHRUBS","BIPI","BOREAL_FOREST",950913,"Smirnov","HSDR",20,"TILL",42,"MIX",8,0.106,238,0.342,NA,2.18,19.9,0.015,0.052,2660,0.24,1.8,0.99,28.9,698,0.052,5560,0.35,1320,297,0.174,150,34.9,1520,3.18,NA,NA,14.6,953,0.067,0.05,0.4,222,15.2,0.032,0.047,0.016,3.7,0.1,29.6
"7",7,531687.1,7630816,195,"FIN","E","PLAIN","TOP","SHRUBS","PIBI","BOREAL_FOREST",950706,"MAKKVG","HSSC",31,"TILL&SAP",34,"MIX",16,0.036,257,0.259,NA,1.55,24.9,0.015,0.02,2750,0.108,0.5,0.79,7.79,268,0.098,4260,0.35,1240,1120,0.08,39.4,5.35,1640,3.5,NA,NA,9.38,976,0.077,0.05,0.4,272,6.35,0.037,0.02,0.008,1.63,0.05,34.9
"8",8,537800,7882500,40,"NOR","E","SLOPE","CONCMED","SHRUBS","PINE","TUNDRA",950722,"CRTF","HSDC",10,"",NA,"DRY",15,0.018,177,0.157,NA,7.08,15.3,0.015,0.009,4120,0.098,0.25,0.39,5.9,246,0.075,3280,1,1740,123,0.15,302,1.97,905,3.03,NA,NA,2.77,822,0.104,0.05,0.4,204,27.8,0.048,0.018,0.088,1.13,0.7,22.3
"9",9,752012.5,7686449,120,"RUS","FLAT","RIDGE","TOP","WHITE_LICHEN","","TUNDRA",950819,"Smirnov","PSSC",4,"TILL",17,"RAIN",10,0.089,531,0.272,NA,1.74,31.7,0.04,0.027,2890,0.187,1.11,2.26,20.1,874,0.074,5140,1.4,1250,155,0.145,205,23.4,1390,9.44,NA,NA,7.91,983,0.114,0.2,0.4,324,27.4,0.053,0.024,0.025,23.6,0.3,40.4
"10",10,688999.4,7610298,90,"RUS","FLAT","RIDGE","TOP","SHRUBS","PIBISPR","",950813,"Pavlov","HSDC",1,"TILLSAP",38,"MIX",16,0.036,146,0.172,NA,1.41,15.5,0.015,0.014,2940,0.089,0.55,0.62,10.6,188,0.065,4660,0.35,1320,681,0.097,156,9.9,1630,1.92,NA,NA,8.77,984,0.102,0.05,0.4,139,7.47,0.013,0.014,0.006,1.48,0.05,44.7
"11",11,489804.2,7652008,180,"FIN","SE","FLA PLAIN","CONCLOW","SHRUBS","PIBI","BOREAL_FOREST",950803,"JARR","HSSC",31,"TILL",26,"MIX",14,0.021,77.5,0.111,NA,1.41,13,0.015,0.002,2450,0.063,0.22,0.25,4.81,79,0.06,5010,0.35,1260,426,0.056,53.5,2.65,1490,1.68,NA,NA,7.74,775,0.016,0.1,0.4,131,4.34,0.004,0.024,0.002,0.66,0.2,35.3
"12",12,718237.1,7623814,180,"RUS","NW","RIDGE","LOWBRLOW","MOSS","BIPI","BOREAL_FOREST",950728,"Semenov","HSDC",20,"FLUVG",25,"DRY",18,0.068,647,0.316,NA,1.49,15.1,0.015,0.018,2070,0.105,1.23,0.69,22,215,0.073,3940,0.35,960,535,0.123,71.3,22.9,1300,2.92,NA,NA,13,866,0.061,0.1,0.4,303,10.4,0.012,0.019,0.007,2.72,0.2,41.7
"13",13,427279.8,7487776,240,"FIN","SW","PLAIN","CONCLOW","MOSS","BIPI","",950717,"VGMA","HSSC",7,"TILL",40,"DRY",22,0.023,154,0.121,NA,0.91,20.1,0.015,0.008,2440,0.1,0.22,0.75,4.88,202,0.052,3790,0.35,903,590,0.082,30,1.57,1270,3.1,NA,NA,11.8,755,0.033,0.05,0.4,199,4.79,0.021,0.038,0.008,1.36,0.05,29.4
"14",16,597300,7699300,100,"NOR","NW","RIDGE","LOWBRLO","WHITE_LICHEN","PINE","BOREAL_FOREST",950801,"OJTF","PSDC",52,"FLUVG",32,"DRY",20,0.038,184,0.336,NA,0.25,9.4,0.015,0.017,1800,0.138,1.39,1.07,22.5,392,0.064,4550,0.35,907,267,0.063,63.2,33.7,995,2.95,NA,NA,23.5,863,0.038,0.05,0.4,189,6.4,0.012,0.028,0.005,1.4,0.1,27.8
"15",17,667085.1,7683133,170,"RUS","FLAT","RIDGE","TOP","SHRUBS","BIRCH","FOREST_TUNDRA",950815,"Pavlov","HSDC",21,"TILL",31,"MIX",18,0.047,147,0.41,NA,2.14,19.5,0.015,0.011,2610,0.095,2.19,1.72,38.9,554,0.085,4690,0.35,1220,479,0.088,284,66.8,1430,2.28,NA,NA,8.28,993,0.053,0.05,0.4,219,8.57,0.014,0.019,0.006,1.85,0.05,36.1
"16",18,594611.3,7550950,280,"FIN","N","PLAIN","CONVTER","SHRUBS","SPRBI","BOREAL_FOREST",950818,"MLRJARR","HSSC",1,"FLUV",42,"DRY",15,0.034,116,0.149,NA,0.81,22.9,0.015,0.01,2820,0.089,0.25,0.38,5.46,133,0.087,3820,0.35,887,492,0.065,31.3,3.61,1110,2.66,NA,NA,13,759,0.033,0.05,0.4,160,10.3,0.013,0.019,0.006,1.27,0.05,33.8
